,distance_anomaly_score,recon_loss
0,0.060198767,-1.904470574
1,0.060198767,-1.904470594
2,0.060198767,-1.904470593
3,0.060198767,-1.904470574
4,-3.979059053,5.224648263
5,0.060198767,4.03646179
6,0.060198767,3.187757164
7,0.060198767,2.551228694
8,0.060198767,2.056150996
9,0.060198767,1.660088844
10,0.060198767,1.336037988
11,0.060198767,1.065995608
12,0.060198767,0.837498208
13,0.060198767,0.641643293
14,0.060198767,0.471902368
15,0.060198767,0.323379063
16,0.060198767,0.192329084
17,0.060198767,0.075840214
18,0.060198767,-0.028386671
19,2.205534956,8.206142989
20,0.060198767,7.72468524
21,0.060198767,7.286996455
22,2.505494131,6.901412469
23,-1.083939718,6.534682006
24,-1.083939718,6.197289979
25,-1.083939718,5.885851185
26,-0.774687788,5.601205548
27,0.060198767,5.333145675
28,-0.774687788,5.087189569
29,2.505494131,4.864902076
30,0.060198767,4.646535216
31,-1.244726232,5.496126282
32,2.605597138,5.272157326
33,0.060198767,5.061080035
34,0.060198767,4.862064301
35,0.060198767,4.674105001
36,0.060198767,4.496305661
37,0.060198767,4.327864181
38,0.060198767,4.168060725
39,0.060198767,4.016247442
40,0.060198767,3.871839686
41,0.060198767,3.73430849
42,0.060198767,3.603174093
43,0.060198767,3.478000351
44,0.060198767,3.358389886
45,0.060198767,3.243979875
46,0.060198767,3.134438376
47,0.060198767,3.029461107
48,0.060198767,2.928768624
49,0.060198767,2.83210384
50,0.060198767,2.739229832
51,0.060198767,2.6499279
52,0.060198767,2.563995853
53,0.060198767,2.481246476
54,0.060198767,2.401506166
55,0.060198767,2.324613724
56,0.060198767,2.250419263
57,0.060198767,2.178783231
58,0.060198767,2.109575539
59,0.060198767,2.042674771
60,0.060198767,1.97796747
61,0.060198767,1.915347502
62,0.060198767,1.854715469
63,0.060198767,1.795978186
64,0.060198767,1.739048205
65,0.060198767,1.683843375
66,0.060198767,1.63028645
67,0.060198767,1.57830473
68,0.060198767,1.527829725
69,0.060198767,1.478796864
70,0.060198767,1.43114521
71,0.060198767,1.384817212
72,0.060198767,1.339758475
73,0.060198767,1.295917543
74,0.060198767,1.253245702
75,0.060198767,1.211696803
76,0.060198767,1.171227097
77,0.060198767,1.131795075
78,0.060198767,1.093361332
79,0.060198767,1.055888434
80,0.060198767,1.019340792
81,0.060198767,0.983684556
82,0.060198767,0.948887506
83,0.060198767,0.914918957
84,0.060198767,0.881749668
85,0.060198767,0.849351759
86,0.060198767,0.817698629
87,0.060198767,0.786764888
88,0.060198767,0.756526287
89,0.060198767,0.726959655
90,0.060198767,0.698042839
91,0.060198767,0.669754651
92,0.060198767,0.64207481
93,0.060198767,0.614983901
94,0.060198767,0.588463328
95,0.060198767,0.562495266
96,0.060198767,0.537062628
97,0.060198767,0.512149024
98,0.060198767,0.487738725
99,0.060198767,0.463816632
100,0.060198767,0.440368244
101,0.060198767,0.417379628
102,0.060198767,0.394837393
103,0.060198767,0.372728662
104,0.060198767,0.351041051
105,0.060198767,0.329762639
106,0.060198767,0.308881955
107,0.060198767,0.28838795
108,0.060198767,0.268269982
109,0.060198767,0.248517795
110,0.060198767,0.229121503
111,0.060198767,0.210071574
112,0.060198767,0.191358812
113,0.060198767,0.172974344
114,0.060198767,0.154909605
115,1.707942583,0.997286578
116,0.060198767,0.972485264
117,0.060198767,0.948104297
118,2.505494131,0.926847662
119,-1.083939718,0.90328961
120,-1.083939718,0.880120946
121,-1.083939718,0.857332097
122,-1.083939718,0.834913798
123,-1.083939718,0.812857086
124,0.060198767,0.791118464
125,-1.083939718,0.76975944
126,-1.083939718,0.748736778
127,2.505494131,0.730532315
128,-1.083939718,0.710139672
129,-3.288403333,0.8801116
130,0.350832391,1.099355534
131,0.060198767,1.076599295
132,0.060198767,1.054185236
133,0.060198767,1.032105715
134,0.060198767,1.010353297
135,0.060198767,0.988920769
136,0.060198767,0.967801124
137,0.060198767,0.946987561
138,0.060198767,0.926473474
139,0.060198767,0.906252445
140,0.060198767,0.886318239
141,0.060198767,0.866664797
142,0.060198767,0.847286227
143,0.060198767,0.828176806
144,0.060198767,0.809330962
145,0.060198767,0.79074328
146,0.060198767,0.772408492
147,0.060198767,0.754321471
148,0.060198767,0.736477229
149,0.060198767,0.71887091
150,0.060198767,0.701497788
151,0.060198767,0.684353259
152,0.060198767,0.667432842
153,0.060198767,0.65073217
154,0.060198767,0.634246991
155,0.060198767,0.617973161
156,0.060198767,0.60190664
157,0.060198767,0.586043494
158,0.060198767,0.570379883
159,0.060198767,0.554912067
160,0.060198767,0.539636399
161,0.060198767,0.524549319
162,0.060198767,0.509647356
163,0.060198767,0.494927125
164,0.060198767,0.480385321
165,0.060198767,0.466018719
166,0.060198767,0.451824172
167,2.614532759,0.640712693
168,0.060198767,0.62565244
169,-9.09490979,0.763239864
170,2.505494131,0.749528314
171,-1.083939718,0.734123389
172,-1.083939718,0.718896557
173,-1.083939718,0.703844745
174,-1.083939718,0.688964954
175,-1.083939718,0.674254252
176,-1.083939718,0.659709773
177,-1.083939718,0.645328714
178,-1.083939718,0.631108338
179,2.505494131,0.618816434
180,0.060198767,0.604875626
181,2.548944135,0.961613235
182,0.060198767,0.945951575
183,0.060198767,0.93046015
184,0.060198767,0.9151362
185,0.060198767,0.899977024
186,0.060198767,0.884979978
187,0.060198767,0.870142475
188,0.060198767,0.855461983
