,recon_losses_SMA,kmeans_anomaly_score_SMA,lstm_error_SMA
0,1.5494673837847042e-27,0.01213475749472756,0.0
1,1.5494658489502746e-27,0.01213475749472756,0.0
2,1.5494672816046335e-27,0.01213475749472756,0.0
3,1.5494677201189526e-27,0.01213475749472756,0.0
4,1.5494677201189526e-27,0.01213475749472756,0.0
5,1.5063194733257381e-27,0.01236774670088727,0.0
6,1.4793345725325007e-27,0.012772130489618515,0.0
7,1.4590958969375763e-27,0.012772130489618515,0.0
8,1.443354952551715e-27,0.012772130489618515,0.0
9,1.4307619716529909e-27,0.012772130489618515,0.0
10,1.4204586759703467e-27,0.012772130489618515,0.0
11,1.338833485795441e-27,0.013389283775352843,0.0
12,1.2697302095255606e-27,0.013389283775352843,0.0
13,1.210475336107263e-27,0.013389283775352843,0.0
14,1.1591278506471592e-27,0.013389283775352843,0.0
15,1.1142318996016222e-27,0.013389283775352843,0.0
16,1.0746742986533355e-27,0.013178315108377463,0.0
17,1.0395119866993119e-27,0.013178315108377463,0.0
18,1.008050980180544e-27,0.013178315108377463,0.0
19,9.797360743136529e-28,0.013178315108377463,0.0
20,9.541178841706043e-28,0.013178315108377463,0.0
21,9.308284770232201e-28,0.013178315108377463,0.0
22,9.095643120865933e-28,0.013178315108377463,0.0
23,8.900721608946836e-28,0.013178315108377463,0.0
24,8.721393889726023e-28,0.013178315108377463,0.0
25,8.555860610445333e-28,0.013178315108377463,0.0
26,8.402589506839817e-28,0.013178315108377463,0.0
27,8.26026521264131e-28,0.013178315108377463,0.0
28,8.127756992715991e-28,0.013178315108377463,0.0
29,8.004082654119021e-28,0.013178315108377463,0.0
30,7.888387362967755e-28,0.013178315108377463,0.0
31,7.760522094291467e-28,0.013695266365442008,0.0
32,7.6404062148766955e-28,0.013695266365442008,0.0
33,7.527356016117121e-28,0.013695266365442008,0.0
34,7.420765967902182e-28,0.013695266365442008,0.0
35,7.427574501621088e-28,0.014372964440231763,0.0
36,7.413682130764061e-28,0.014882977434419017,0.0
37,7.319461135226224e-28,0.013695266365442008,0.0
38,7.23007199004398e-28,0.013695266365442008,0.0
39,7.14515230212079e-28,0.013695266365442008,0.0
40,7.0643750657682735e-28,0.013695266365442008,0.0
41,6.987444293807121e-28,0.013695266365442008,0.0
42,6.914091735819191e-28,0.013695266365442008,0.0
43,6.844073385012492e-28,0.013695266365442008,0.0
44,6.777166964748187e-28,0.013695266365442008,0.0
45,6.8880547155461275e-28,0.014620564276738874,0.0
46,7.0005197092913e-28,0.011432363621715212,0.0
47,7.069380719497699e-28,0.011604905486331814,0.0
48,7.095465342059914e-28,0.013778040881008213,0.0
49,7.119472343234151e-28,0.013778040881008213,0.0
50,7.141882406682711e-28,0.013778040881008213,0.0
51,7.138773774480232e-28,0.014364317597638437,0.0
52,7.1071701119331775e-28,0.014529910804976433,0.0
53,7.077460307778171e-28,0.014529910804976433,0.0
54,7.049621374055677e-28,0.014529910804976433,0.0
55,7.023649029751845e-28,0.014263558169198172,0.0
56,7.009291610657436e-28,0.012833557503485495,0.0
57,6.993540047875485e-28,0.012782171481288122,0.0
58,6.976766767072882e-28,0.012782171481288122,0.0
59,6.9598975961055845e-28,0.012782171481288122,0.0
60,6.943009663407606e-28,0.012782171481288122,0.0
61,6.918493678608198e-28,0.011126578525251014,0.0
62,6.90190229057536e-28,0.012782171481288122,0.0
63,6.885829383418599e-28,0.012782171481288122,0.0
