,0,1,2,3,4,5,6,actual_anomaly,recon_losses,anomaly_score,predicted_labels
0,0.0,8.039403e-09,0.0,0.0,0.0,0.0,0.0,0.0,4.815467003232017e-07,8.039403e-09,1
1,0.0,8.039403e-09,0.0,0.0,0.0,0.0,0.0,0.0,4.815462994049035e-07,8.039403e-09,1
2,0.0,8.039403e-09,0.0,0.0,0.0,0.0,0.0,0.0,4.815323706701147e-07,8.039403e-09,1
3,0.0,8.039403e-09,0.0,0.0,0.0,0.0,0.0,0.0,4.815468024307185e-07,8.039403e-09,1
4,0.0,8.039403e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.015994971216602236,8.039403e-09,1
5,0.0,8.039403e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.01332922293830227,8.039403e-09,1
6,0.0,8.039403e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.011425117025159002,8.039403e-09,1
7,0.0,8.039403e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.009997037590301553,8.039403e-09,1
8,0.0,8.039403e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.00888630913632507,8.039403e-09,1
9,0.0,8.039403e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.007997726381702335,8.039403e-09,1
10,0.0,8.039403e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.007270704123984162,8.039403e-09,1
11,0.0,8.039403e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.006664852242552351,8.039403e-09,1
12,0.0,8.039403e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.006152208342840586,8.039403e-09,1
13,0.0,8.039403e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.005712799285944787,8.039403e-09,1
14,0.0,8.039403e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.005331978100516015,8.039403e-09,1
15,0.0,8.039403e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.004998759568614871,8.039403e-09,1
16,0.0,8.039403e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.004704743214390609,8.039403e-09,1
17,0.0,8.039403e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.004443395343969044,8.039403e-09,1
18,0.0,8.039403e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.004209557775670642,8.039403e-09,1
19,0.0,8.039403e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.020001024172537005,8.039403e-09,1
20,0.0,8.039403e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.01904861738236948,8.039403e-09,1
21,0.0,8.039403e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.01818279299600235,8.039403e-09,1
22,0.0,8.039403e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.027826606739379856,8.039403e-09,1
23,0.0,8.039403e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.030000156464001154,8.039403e-09,1
24,0.0,8.039403e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.03199982222255355,8.039403e-09,1
25,0.0,8.039403e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.033845667538140375,8.039403e-09,1
26,0.0,8.039403e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.041481731661317585,8.039403e-09,1
27,0.0,8.039403e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0400002584311837,8.039403e-09,1
28,0.0,8.039403e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.04689747017940949,8.039403e-09,1
29,0.0,8.039403e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.05333390480988534,8.039403e-09,1
30,8.039403e-09,0.0,8.039403e-09,8.039403e-09,8.039403e-09,8.039403e-09,8.039403e-09,0.0,0.05161347180138257,8.039403e-09,1
31,8.039403e-09,0.0,8.039403e-09,8.039403e-09,8.039403e-09,8.039403e-09,8.039403e-09,0.0,0.05124905968379064,8.039403e-09,1
32,0.0,8.039403e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.05333128731466084,8.039403e-09,1
33,0.0,8.039403e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.05176273421258028,8.039403e-09,1
34,0.0,8.039403e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.050283812698120545,8.039403e-09,1
35,0.0,8.039403e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.048887053494466655,8.039403e-09,1
36,0.0,8.039403e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.047565794793178434,8.039403e-09,1
37,0.0,8.039403e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.04631407602353696,8.039403e-09,1
38,0.0,8.039403e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.04512654796001805,8.039403e-09,1
39,0.0,8.039403e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.043998396299675085,8.039403e-09,1
40,0.0,8.039403e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.042925276426622354,8.039403e-09,1
41,0.0,8.039403e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0419032575019432,8.039403e-09,1
42,0.0,8.039403e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.04092877434019574,8.039403e-09,1
43,0.0,8.039403e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.03999858586761862,8.039403e-09,1
